PassengerId,Survived_pred,Survived_prob
892,0,0.1426
893,1,0.6657
894,0,0.1733
895,0,0.1228
896,0,0.4841
897,0,0.1213
898,1,0.7123
899,0,0.1548
900,1,0.7422
901,0,0.1064
902,0,0.1228
903,0,0.2325
904,1,0.9168
905,0,0.1851
906,1,0.9046
907,1,0.9256
908,0,0.1735
909,0,0.1675
910,0,0.47
911,1,0.6183
912,0,0.3849
913,0,0.2543
914,1,0.9144
915,0,0.4137
916,1,0.9447
917,0,0.0835
918,1,0.9507
919,0,0.1675
920,0,0.297
921,0,0.1722
922,0,0.1497
923,0,0.1434
924,1,0.5263
925,0,0.4712
926,0,0.3999
927,0,0.1675
928,0,0.4931
929,0,0.4897
930,0,0.1213
931,0,0.29
932,0,0.1469
933,0,0.2629
934,0,0.1101
935,1,0.8712
936,1,0.947
937,0,0.1213
938,0,0.2566
939,0,0.1477
940,1,0.943
941,1,0.5834
942,0,0.3425
943,0,0.1375
944,1,0.866
945,1,0.7489
946,0,0.208
947,0,0.0996
948,0,0.1277
949,0,0.1213
950,0,0.1387
951,1,0.9514
952,0,0.1213
953,0,0.162
954,0,0.1213
955,1,0.7142
956,0,0.376
957,1,0.8894
958,1,0.5984
959,0,0.1843
960,0,0.3207
961,1,0.6462
962,1,0.5984
963,0,0.1213
964,0,0.4931
965,0,0.2994
966,1,0.9514
967,0,0.4172
968,0,0.1228
969,1,0.9164
970,0,0.1383
971,1,0.5984
972,1,0.8173
973,0,0.239
974,0,0.263
975,0,0.1228
976,0,0.1651
977,0,0.1318
978,1,0.6017
979,0,0.4897
980,1,0.6017
981,1,0.6948
982,0,0.4685
983,0,0.1228
984,1,0.875
985,0,0.1228
986,0,0.3139
987,0,0.1213
988,1,0.8897
989,0,0.1228
990,0,0.4897
991,0,0.1277
992,1,0.9722
993,0,0.1548
994,0,0.1477
995,0,0.1228
996,1,0.6278
997,0,0.1436
998,0,0.146
999,0,0.1477
1000,0,0.1228
1001,0,0.1367
1002,0,0.1304
1003,1,0.6017
1004,1,0.9455
1005,1,0.7142
1006,1,0.9166
1007,0,0.1398
1008,0,0.0751
1009,1,0.8795
1010,0,0.4213
1011,1,0.88
1012,1,0.9011
1013,0,0.1521
1014,1,0.9514
1015,0,0.1228
1016,0,0.1477
1017,1,0.5347
1018,0,0.1213
1019,1,0.6137
1020,0,0.1497
1021,0,0.1213
1022,0,0.1443
1023,0,0.2817
1024,0,0.1397
