sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0349,0.8431,0.1219
6.9,3.1,5.1,2.3,virginica,0.0233,0.0259,0.9508
5.1,2.5,3.0,1.1,versicolor,0.1261,0.7873,0.0866
4.4,2.9,,0.2,setosa,0.6079,0.2657,0.1264
5.9,3.0,5.1,1.8,virginica,0.0267,0.3284,0.6449
5.5,3.5,1.3,0.2,setosa,0.9193,0.0451,0.0356
5.6,,3.6,1.3,versicolor,0.063,0.909,0.0281
6.5,3.0,5.2,2.0,virginica,0.0194,0.0671,0.9135
5.3,3.7,1.5,0.2,setosa,0.9261,0.0397,0.0342
5.1,3.4,1.5,,setosa,0.7505,0.1785,0.071
6.1,2.8,4.0,1.3,versicolor,0.0227,0.9393,0.038
5.5,2.4,3.7,1.0,versicolor,0.0514,0.8792,0.0694
7.7,3.0,6.1,2.3,virginica,0.029,0.0186,0.9523
6.9,3.1,4.9,1.5,versicolor,0.0389,0.6832,0.2779
6.0,2.2,5.0,1.5,virginica,0.0549,0.2971,0.648
