id,Machine_failure_pred,Machine_failure_prob
136429,0,0.0021
136430,0,0.001
136431,0,0.0027
136432,0,0.003
136433,0,0.0037
136434,0,0.0028
136435,0,0.004
136436,0,0.0049
136437,0,0.0009
136438,0,0.0011
136439,0,0.0024
136440,0,0.0022
136441,0,0.0012
136442,0,0.0018
136443,0,0.0021
136444,0,0.0056
136445,0,0.001
136446,1,0.9935
136447,0,0.0024
136448,0,0.0017
136449,0,0.0057
136450,0,0.0041
136451,0,0.0213
136452,0,0.0226
136453,0,0.0039
136454,0,0.0014
136455,0,0.0017
136456,0,0.0073
136457,0,0.0066
136458,0,0.0048
136459,0,0.0037
136460,0,0.0028
136461,0,0.0012
136462,0,0.0191
136463,0,0.0018
136464,0,0.0031
136465,0,0.0015
136466,0,0.002
136467,0,0.0012
136468,0,0.0028
136469,0,0.0013
136470,0,0.0027
136471,0,0.0095
136472,0,0.0074
136473,0,0.0023
136474,0,0.0022
136475,0,0.0032
136476,0,0.0058
136477,0,0.0024
136478,0,0.0021
136479,0,0.0012
136480,0,0.0065
136481,0,0.0024
136482,0,0.0342
136483,0,0.0031
136484,0,0.001
136485,0,0.0014
136486,0,0.0023
136487,0,0.0014
136488,0,0.0044
136489,0,0.0011
136490,0,0.0245
136491,0,0.0037
136492,0,0.0031
136493,0,0.0033
136494,0,0.0011
136495,0,0.0028
136496,0,0.0046
136497,0,0.0022
136498,0,0.0099
136499,0,0.0014
136500,0,0.0007
136501,0,0.0015
136502,0,0.0053
136503,0,0.0029
136504,0,0.0012
136505,0,0.0011
136506,0,0.0027
136507,0,0.0007
136508,0,0.0011
136509,0,0.0039
136510,0,0.0016
136511,0,0.0107
136512,0,0.0008
136513,0,0.0062
136514,0,0.002
136515,0,0.0023
136516,0,0.0035
136517,0,0.0016
136518,0,0.0015
136519,0,0.0028
136520,0,0.0019
136521,0,0.0018
136522,0,0.0032
136523,0,0.0012
136524,0,0.0013
136525,0,0.0046
136526,0,0.006
136527,0,0.0077
136528,0,0.001
136529,0,0.0062
136530,0,0.003
136531,0,0.0035
136532,0,0.0037
136533,0,0.003
136534,0,0.0005
136535,0,0.0026
136536,0,0.0022
136537,0,0.0009
136538,0,0.0055
136539,0,0.0012
136540,0,0.002
136541,0,0.0008
136542,0,0.0042
136543,0,0.0075
136544,0,0.0022
136545,0,0.004
136546,0,0.0007
136547,0,0.0031
136548,0,0.0023
136549,0,0.002
136550,0,0.0067
136551,0,0.0013
136552,0,0.0015
136553,0,0.0014
136554,0,0.003
136555,0,0.0146
136556,0,0.0065
136557,0,0.0042
136558,0,0.004
136559,0,0.0028
136560,0,0.0049
136561,0,0.0075
136562,0,0.0019
136563,0,0.0028
136564,0,0.0015
136565,0,0.0177
136566,0,0.0012
136567,0,0.0051
136568,0,0.0037
136569,0,0.0042
136570,0,0.0009
136571,0,0.0061
136572,0,0.0038
136573,0,0.0015
136574,0,0.0057
136575,0,0.0015
136576,0,0.0053
136577,0,0.0051
136578,0,0.0014
136579,0,0.0065
136580,0,0.0014
136581,0,0.0012
136582,0,0.0011
136583,0,0.0013
136584,0,0.002
136585,0,0.0042
136586,0,0.0581
136587,0,0.0009
136588,0,0.0059
136589,0,0.0027
136590,0,0.0015
136591,0,0.0035
136592,0,0.0093
136593,0,0.0055
136594,0,0.0005
136595,0,0.0016
136596,0,0.0012
136597,0,0.0015
136598,0,0.0053
136599,0,0.0024
136600,0,0.0019
136601,0,0.0047
136602,0,0.0068
136603,0,0.0028
136604,0,0.0011
136605,0,0.0064
136606,0,0.0024
136607,0,0.0035
136608,0,0.0028
136609,0,0.005
136610,0,0.005
136611,0,0.0011
136612,0,0.002
136613,0,0.0029
136614,0,0.0009
136615,0,0.0007
136616,0,0.0015
136617,0,0.0098
136618,0,0.0018
136619,0,0.0017
136620,0,0.0017
136621,0,0.0026
136622,0,0.0017
136623,0,0.001
136624,0,0.0015
136625,0,0.0038
136626,0,0.0003
136627,0,0.0036
136628,0,0.003
136629,0,0.0004
136630,0,0.0011
136631,0,0.0065
136632,0,0.0039
136633,0,0.0016
136634,0,0.0016
136635,0,0.0128
